,RBR,X,Y,AET_1981_2010,dist_streams_wetlands,ESI,FRS,T_max_bpd,pct_canopy_cover,canopy_rumple,pctl_25_canopy_height,pctl_95_canopy_height,Pct_1_tree_clumps,Pct_2_4_tree_clumps,Pct_5_9_tree_clumps,Pct_gteq10_tree_clumps,topo_aspect,topo_curvature_45,topo_plan_curvature,topo_slope_135,topo_SRI,topo_SRI_270,topo_TPI_4000,topo_TPI_500,SCF,wind_northsouthness,Rx,EVT_PP
978,24,-121.1786445,42.85166026,493.4295349,361.1733093,0.325290799,0.542964995,302.7999878,48.8730011,2.933000088,5.992899895,15.69470024,23.71007019,56.30998424,19.97994557,0,34.41159821,0.34920001,-0.062799998,6.994900227,1.637400031,1.655400038,3538,1879,0.430136979,-0.309017599,1,1
979,-97,-121.177836,42.85166026,488.7765503,393.7492676,0.32288295,0.7484442,302.7999878,21.93149948,2.866699934,10.67169952,20.73629951,100,0,0,0,47.33530045,-0.104500003,0.115000002,8.28030014,1.618199944,1.647600055,2904,1408,0.419178069,-0.275637984,1,1
980,39,-121.1770275,42.85166026,484.6495056,433.5180359,0.317774415,0.7484442,302.7999878,19.94630051,2.699700117,12.80830002,26.05279922,32.98421596,67.01578404,0,0,35.90670013,0.059500001,0.0064,10.34969997,1.628800035,1.650400043,2541,1248,0.419178069,-0.258819669,1,0
981,59,-121.176219,42.85166026,483.3327332,474.7219849,0.317774415,0.7484442,302.7999878,15.79969978,3.138600111,10.53899956,22.16469955,100,0,0,0,55.54600143,0.339599997,0.0156,9.546500206,1.607800007,1.655200005,1930,972,0.419178069,-0.258819669,1,1
982,-1,-121.1754106,42.85166026,483.3327332,459.2224121,0.320026755,0.610896826,302.7999878,35.50910187,4.155600071,13.32610035,28.63730049,100,0,0,0,55.57929993,-0.323900014,-0.079999998,8.166199684,1.633399963,1.654399991,358,-26,0.419178069,-0.258819669,1,0
983,39,-121.1746021,42.85166026,485.6931763,447.704895,0.297867119,0.74781096,302.7999878,32.72230148,3.747800112,17.23800087,29.62059975,64.33865092,35.66134908,0,0,41.82630157,0.063199997,-0.150700003,7.261600018,1.648300052,1.6602,-44,150,0.419178069,-0.258819669,1,1
984,149,-121.1737936,42.85166026,487.0429382,412.2201843,0.297867119,0.74781096,302.7999878,41.63299942,3.698299885,15.46959972,28.19890022,64.29792818,35.70207182,0,0,27.51569939,0.207900003,0.0287,6.171700001,1.60710001,1.669700027,-442,418,0.419178069,-0.258819669,1,1
985,104,-121.1729851,42.85166026,486.1170044,372.8270264,0.311172754,0.74781096,300.2000122,59.5428009,2.28489995,6.257900238,14.6559,23.65109736,52.44119302,23.90770962,0,28.77750015,0.228799999,-0.041999999,6.800199986,1.567199945,1.681900024,-889,550,0.400000006,-0.275637984,1,1
986,112,-121.1721766,42.85166026,486.1170044,334.5747375,0.354514211,0.74781096,300.2000122,55.4756012,2.565399885,5.181000233,19.37409973,37.23658891,59.09325574,3.670155348,0,45.54150009,-0.172900006,-0.048,6.679800034,1.601699948,1.683200002,-1966,76,0.400000006,-0.275637984,1,1
987,99,-121.1713681,42.85166026,486.2166748,272.6768494,0.350273728,0.691138685,300.2000122,54.50439835,2.338900089,5.468299866,16.22979927,13.62284109,27.19816544,59.17899347,0,65.97589874,-0.214100003,0.040800001,5.755400181,1.670899987,1.686499953,-2500,-271,0.400000006,-0.258819669,1,1
988,74,-121.1705597,42.85166026,488.8085327,208.7863007,0.326109707,0.691138685,300.2000122,53.63690186,2.212599993,6.129199982,15.54459953,37.282803,54.951734,7.765462996,0,82.7071991,-0.055,0.0025,4.610799789,1.699100018,1.692299962,-2832,-421,0.400000006,-0.258819669,1,1
989,-26,-121.1697512,42.85166026,493.8711548,145.3886871,0.294469088,0.691138685,300.2000122,27.48740005,2.539599895,4.752999783,17.58989906,82.12886374,17.87113626,0,0,80.73829651,0.0208,-0.1083,2.87590003,1.701500058,1.697900057,-3019,-412,0.400000006,-0.258819669,1,1
990,72,-121.1689427,42.85166026,493.8711548,82.12417603,0.29728958,0.691138685,300.2000122,35.0428009,2.700299978,11.36559963,20.20009995,49.66275772,50.33724228,0,0,72.82060242,-0.0077,0.0093,2.049000025,1.702100039,1.698500037,-3101,-339,0.400000006,-0.258819669,1,1
991,115,-121.1681342,42.85166026,498.7753906,12.82564068,0.286970347,0.741784155,300.2000122,26.03700066,3.065299988,4.800600052,23.95800018,83.78901712,16.21098288,0,0,76.18080139,0.0173,-0.047400001,1.520900011,1.703999996,1.695600033,-3179,-256,0.400000006,-0.258819669,1,0
992,134,-121.1665172,42.85166026,501.8799438,69.06819153,0.296985239,0.741784155,300.2000122,38.30749893,3.211100101,9.45359993,20.06940079,82.85064624,17.14935376,0,0,79.86650085,0.016899999,-0.0115,1.206200004,1.703600049,1.686800003,-3242,-360,0.400000006,-0.275637984,1,0
993,104,-121.1657088,42.85166026,502.7438049,32.69909668,0.296985239,0.741784155,300.2000122,32.34410095,2.718600035,9.725500107,19.25390053,47.86789661,52.13210339,0,0,97.33830261,-0.017200001,-0.0177,1.375399947,1.708600044,1.677399993,-3278,-548,0.400000006,-0.258819669,1,1
